drug_name,manufacturer,strength,yj_code,price,dosage_form,route_of_administration,generic_name
ブロモバレリル尿素,不明,１ｇ,1121001X1018,7.5,内用薬,経口,
抱水クロラール,不明,１ｇ,1123001X1012,36.9,内用薬,経口,
ユーロジン散１％,武田テバ薬品,１％１ｇ,1124001B1039,39.3,内用薬,経口,
ユーロジン１ｍｇ錠,武田テバ薬品,１ｍｇ１錠,1124001F1022,5.9,内用薬,経口,
エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,１ｍｇ１錠,1124001F1030,5.9,内用薬,経口,
エスタゾラム２ｍｇ錠,不明,２ｍｇ１錠,1124001F2010,7.3,内用薬,経口,
ユーロジン２ｍｇ錠,武田テバ薬品,２ｍｇ１錠,1124001F2029,9.2,内用薬,経口,
ダルメートカプセル１５,共和薬品工業,１５ｍｇ１カプセル,1124002M2022,7.8,内用薬,経口,
ネルボン散１％,アルフレッサファーマ,１％１ｇ,1124003B1070,11.8,内用薬,経口,
ベンザリン細粒１％,共和薬品工業,１％１ｇ,1124003C1092,16.2,内用薬,経口,
ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学,１％１ｇ,1124003C1114,16.2,内用薬,経口,
ベンザリン錠２,共和薬品工業,２ｍｇ１錠,1124003F1021,5.9,内用薬,経口,
ニトラゼパム５ｍｇ錠,不明,５ｍｇ１錠,1124003F2010,5.5,内用薬,経口,
ベンザリン錠５,共和薬品工業,５ｍｇ１錠,1124003F2222,8.4,内用薬,経口,
ネルボン錠５ｍｇ,アルフレッサファーマ,５ｍｇ１錠,1124003F2230,7.7,内用薬,経口,
ニトラゼパム１０ｍｇ錠,不明,１０ｍｇ１錠,1124003F3016,5.7,内用薬,経口,
ネルボン錠１０ｍｇ,アルフレッサファーマ,１０ｍｇ１錠,1124003F3083,13.2,内用薬,経口,
ベンザリン錠１０,共和薬品工業,１０ｍｇ１錠,1124003F3121,13.2,内用薬,経口,
ソメリン細粒１％,アルフレッサファーマ,１％１ｇ,1124005C1032,19.7,内用薬,経口,
ソメリン錠５ｍｇ,アルフレッサファーマ,５ｍｇ１錠,1124005F1020,13.4,内用薬,経口,
ソメリン錠１０ｍｇ,アルフレッサファーマ,１０ｍｇ１錠,1124005F2027,17.9,内用薬,経口,
トリアゾラム０．１２５ｍｇ錠,不明,０．１２５ｍｇ１錠,1124007F1011,5.7,内用薬,経口,
ハルシオン０．１２５ｍｇ錠,ファイザー,０．１２５ｍｇ１錠,1124007F1020,5.9,内用薬,経口,
トリアゾラム０．２５ｍｇ錠,不明,０．２５ｍｇ１錠,1124007F2018,5.9,内用薬,経口,
ハルシオン０．２５ｍｇ錠,ファイザー,０．２５ｍｇ１錠,1124007F2026,8.8,内用薬,経口,
フルニトラゼパム１ｍｇ錠,不明,１ｍｇ１錠,1124008F1016,5.7,内用薬,経口,
サイレース錠１ｍｇ,エーザイ,１ｍｇ１錠,1124008F1024,8.4,内用薬,経口,
フルニトラゼパム２ｍｇ錠,不明,２ｍｇ１錠,1124008F2012,5.9,内用薬,経口,
サイレース錠２ｍｇ,エーザイ,２ｍｇ１錠,1124008F2020,9.6,内用薬,経口,
ブロチゾラム０．２５ｍｇ錠,不明,０．２５ｍｇ１錠,1124009F1010,10.1,内用薬,経口,
レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,０．２５ｍｇ１錠,1124009F1223,12.5,内用薬,経口,
ブロチゾラム０．２５ｍｇ口腔内崩壊錠,不明,０．２５ｍｇ１錠,1124009F2017,10.1,内用薬,経口,
レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,０．２５ｍｇ１錠,1124009F2025,12.5,内用薬,経口,
エバミール錠１．０,バイエル薬品,１ｍｇ１錠,1124010F1021,12.6,内用薬,経口,
ロラメット錠１．０,あすか製薬,１ｍｇ１錠,1124010F1030,14.7,内用薬,経口,
